search_day,rank,singer,title
20250607,1,세븐틴(SEVENTEEN),THUNDER
20250607,2,10CM,너에게 닿기를
20250607,3,아이유(IU),Never Ending Story
20250607,4,WOODZ,Drowning
20250607,5,엔하이픈 (ENHYPEN),Bad Desire (With or Without You)
20250607,6,제니 (JENNIE),like JENNIE
20250607,7,아이유(IU),네모의 꿈
20250607,8,aespa,Whiplash
20250607,9,MEOVV (미야오),HANDS UP
20250607,10,IVE (아이브),REBEL HEART
20250607,11,LE SSERAFIM (르세라핌),HOT
20250607,12,KiiiKiii (키키),I DO ME
20250607,13,황가람,나는 반딧불
20250607,14,조째즈,모르시나요(PROD.로코베리)
20250607,15,G-DRAGON,TOO BAD (feat. Anderson .Paak)
20250607,16,로제(ROSÉ),APT.
20250607,17,이무진,청춘만화
20250607,18,DAY6 (데이식스),HAPPY
20250607,19,투모로우바이투게더,그날이 오면
20250607,20,DAY6 (데이식스),Maybe Tomorrow
20250607,21,FIFTY FIFTY,Pookie
20250607,22,로제(ROSÉ),toxic till the end
20250607,23,DAY6 (데이식스),한 페이지가 될 수 있게
20250607,24,BOYNEXTDOOR,오늘만 I LOVE YOU
20250607,25,IVE (아이브),ATTITUDE
20250607,26,Lady Gaga(레이디 가가),Die With A Smile
20250607,27,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
20250607,28,마크툽(MAKTUB),시작의 아이
20250607,29,aespa,Supernova
20250607,30,DAY6 (데이식스),Welcome to the Show
20250607,31,아이유(IU),빨간 운동화
20250607,32,QWER,고민중독
20250607,33,TWS (투어스),마음 따라 뛰는 건 멋지지 않아?
20250607,34,QWER,내 이름 맑음
20250607,35,제니 (JENNIE),Mantra
20250607,36,아이유(IU),Last Scene (Feat. 원슈타인)
20250607,37,RESCENE (리센느),LOVE ATTACK
20250607,38,로이킴,내게 사랑이 뭐냐고 물어본다면
20250607,39,RIIZE,Fly Up
20250607,40,오반(OVAN),Flower
20250607,41,Hearts2Hearts (하츠투하츠),The Chase
20250607,42,NewJeans,How Sweet
20250607,43,이무진,에피소드
20250607,44,BABYMONSTER,DRIP
20250607,45,i-dle (아이들),나는 아픈 건 딱 질색이니까
20250607,46,NewJeans,Supernatural
20250607,47,이창섭,천상연
20250607,48,이클립스 (ECLIPSE),소나기
20250607,49,TWS (투어스),첫 만남은 계획대로 되지 않아
20250607,50,Taylor Swift(테일러 스위프트),Cruel Summer
20250607,51,엔플라잉(N.Flying),만년설 (Everlasting)
20250607,52,DAY6 (데이식스),예뻤어
20250607,53,NewJeans,Hype Boy
20250607,54,아일릿(ILLIT),Magnetic
20250607,55,IVE (아이브),I AM
20250607,56,도경수(D.O.),영원해
20250607,57,KISS OF LIFE,Sticky
20250607,58,aespa,Armageddon
20250607,59,NewJeans,Attention
20250607,60,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
20250607,61,Kendrick Lamar(켄드릭 라마),luther
20250607,62,DAY6 (데이식스),Congratulations
20250607,63,aespa,UP (KARINA Solo)
20250607,64,이영지,Small girl (feat. 도경수(D.O.))
20250607,65,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20250607,66,비비(BIBI),밤양갱
20250607,67,황가람,미치게 그리워서
20250607,68,잔나비,주저하는 연인들을 위해
20250607,69,아이유(IU),10월 4일
20250607,70,G-DRAGON,TAKE ME
20250607,71,아이유(IU),Love wins all
20250607,72,NewJeans,Ditto
20250607,73,i-dle (아이들),Good Thing
20250607,74,DAY6 (데이식스),녹아내려요
20250607,75,IVE (아이브),LOVE DIVE
20250607,76,재쓰비 (JAESSBEE),너와의 모든 지금
20250607,77,G-DRAGON,PO￦ER
20250607,78,너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
20250607,79,로제(ROSÉ),number one girl
20250607,80,DAY6 (데이식스),Love me or Leave me
20250607,81,아이유(IU),미인 (Feat. Balming Tiger)
20250607,82,마크 (MARK),1999
20250607,83,izna (이즈나),SIGN
20250607,84,NewJeans,Bubble Gum
20250607,85,프로미스나인,Supersonic
20250607,86,DAY6 (데이식스),끝났지
20250607,87,성시경,너의 모든 순간
20250607,88,이무진,청혼하지 않을 이유를 못 찾았어
20250607,89,IVE (아이브),After LIKE
20250607,90,멜로망스(MeloMance),사랑인가 봐
20250607,91,제니 (JENNIE),ExtraL (feat. Doechii)
20250607,92,NewJeans,ETA
20250607,93,G-DRAGON,"무제(無題) (Untitled, 2014)"
20250607,94,LE SSERAFIM (르세라핌),Come Over
20250607,95,aespa,Live My Life
20250607,96,임재현,비의 랩소디
20250607,97,RIIZE,Bag Bad Back
20250607,98,윤하(Younha/ユンナ),사건의 지평선
20250607,99,KISS OF LIFE,Igloo
20250607,100,엔하이픈 (ENHYPEN),Too Close
