"월별(1)",2018,2019,2020,2021,2022,2023
"월별(1)",산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"1월",5648,5993,5798,5459,39016,11008
"2월",5496,5568,5416,5351,37975,10933
"3월",4521,4858,4808,4563,40812,9085
"4월",4748,5204,5177,4980,39958,8919
"5월",4583,4981,4898,4857,40622,9002
"6월",5011,5320,5060,5124,40890,10451
"7월",5043,5234,5053,5238,41377,9981
"8월",6292,6275,5933,6395,41534,12676
"9월",5955,6127,6082,6544,41784,13417
"10월",5371,5153,4903,5572,41823,10088
"11월",6363,6019,5827,6353,44149,12468
"12월",5628,5561,5274,5569,40677,9746
