"월별(1)",2018,2019,2020,2021,2022,2023
"월별(1)",가정용,가정용,가정용,가정용,가정용,가정용
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"1월",52439,53152,52958,57343,55912,62933
"2월",53027,51740,53410,54602,55335,61297
"3월",46460,46071,50511,48761,49788,53296
"4월",47558,47936,51961,49887,50561,54939
"5월",44876,45283,48146,47586,47153,52974
"6월",46294,45992,49132,48928,49956,55265
"7월",3642,48395,49994,55570,64374,65459
"8월",74239,67730,64734,72233,71864,84598
"9월",53967,55277,64175,55720,56967,69464
"10월",46361,46984,47901,49952,47980,55518
"11월",47666,47612,49155,50039,48937,55100
"12월",49712,49934,51872,98337,51447,58949
