"월별(1)",2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"월별(1)",가정용,가정용,가정용,가정용,가정용,가정용,가정용,가정용,가정용,가정용,가정용,가정용
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"합계",633949,27843,4.6,688958,55009,8.7,650274,-38684,-5.6,729792,,
"1월",52958,-194,-0.4,57343,4385,8.3,55912,-1431,-2.5,62933,,
"2월",53410,1670,3.2,54602,1192,2.2,55335,733,1.3,61297,,
"3월",50511,4440,9.6,48761,-1750,-3.5,49788,1027,2.1,53296,,
"4월",51961,4025,8.4,49887,-2074,-4.0,50561,674,1.4,54939,,
"5월",48146,2863,6.3,47586,-560,-1.2,47153,-433,-0.9,52974,,
"6월",49132,3140,6.8,48928,-204,-0.4,49956,1028,2.1,55265,,
"7월",49994,1599,3.3,55570,5576,11.2,64374,8804,15.8,65459,,
"8월",64734,-2996,-4.4,72233,7499,11.6,71864,-369,-0.5,84598,,
"9월",64175,8898,16.1,55720,-8455,-13.2,56967,1247,2.2,69464,,
"10월",47901,917,2.0,49952,2051,4.3,47980,-1972,-3.9,55518,,
"11월",49155,1543,3.2,50039,884,1.8,48937,-1102,-2.2,55100,,
"12월",51872,1938,3.9,98337,46465,89.6,51447,-46890,-47.7,58949,,
