"월별(1)",2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"월별(1)",산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",광업,광업,광업,광업,광업,광업,광업,광업,광업,광업,광업,광업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"합계",68759,-9032,-11.6,80520,11761,17.1,70402,-10118,-12.6,64689,,
"1월",6487,-355,-5.2,6602,115,1.8,6279,-323,-4.9,5753,,
"2월",6201,440,7.6,6063,-138,-2.2,5808,-255,-4.2,5750,,
"3월",6553,-438,-6.3,6617,64,1.0,6340,-277,-4.2,5138,,
"4월",6294,-397,-5.9,6589,295,4.7,6477,-112,-1.7,4747,,
"5월",4329,-2385,-35.5,6770,2441,56.4,6145,-625,-9.2,5907,,
"6월",3328,-3285,-49.7,6428,3100,93.1,6051,-377,-5.9,5047,,
"7월",5187,-1452,-21.9,9722,4535,87.4,5268,-4454,-45.8,5197,,
"8월",5793,-681,-10.5,6458,665,11.5,4464,-1994,-30.9,5349,,
"9월",5567,-533,-8.7,6128,561,10.1,5395,-733,-12.0,4736,,
"10월",6153,-99,-1.6,6312,159,2.6,5864,-448,-7.1,5235,,
"11월",6122,154,2.6,6199,77,1.3,6143,-56,-0.9,5759,,
"12월",6745,-1,0.0,6632,-113,-1.7,6168,-464,-7.0,6071,,
