"월별(1)",2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"월별(1)",산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",제조업,제조업,제조업,제조업,제조업,제조업,제조업,제조업,제조업,제조업,제조업,제조업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"합계",5979420,-2077608,-25.8,7177918,1198498,20.0,6806006,-371912,-5.2,7540508,,
"1월",543681,-234429,-30.1,606851,63170,11.6,694083,87232,14.4,666813,,
"2월",466949,-178559,-27.7,537433,70484,15.1,570109,32676,6.1,634621,,
"3월",519585,-343232,-39.8,583313,63728,12.3,709855,126542,21.7,760124,,
"4월",524006,-261729,-33.3,632155,108149,20.6,624883,-7272,-1.2,689594,,
"5월",480784,-287130,-37.4,698445,217661,45.3,661121,-37324,-5.3,666732,,
"6월",382504,-266983,-41.1,552502,169998,44.4,554996,2494,0.5,604357,,
"7월",485573,-234328,-32.6,566973,81400,16.8,617892,50919,9.0,598494,,
"8월",484761,-197321,-28.9,585924,101163,20.9,580969,-4955,-0.8,551039,,
"9월",503145,-20834,-4.0,570291,67146,13.3,329889,-240402,-42.2,564118,,
"10월",544388,-24403,-4.3,624622,80234,14.7,414082,-210540,-33.7,647864,,
"11월",517790,-7036,-1.3,615168,97378,18.8,479430,-135738,-22.1,528331,,
"12월",526254,-21624,-3.9,604241,77987,14.8,568697,-35544,-5.9,628421,,
