"월별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"월별(1)",합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,합계,가정용,가정용,가정용,공공용,공공용,공공용,서비스업 및 기타,서비스업 및 기타,서비스업 및 기타,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,농림수산업,광업,광업,광업,제조업,제조업,제조업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"합계",8044514,-2102701,-20.7,633949,27843,4.6,346183,-6907,-2.0,951974,-34933,-3.5,6112408,-2088704,-25.5,64229,-2064,-3.1,68759,-9032,-11.6,5979420,-2077608,-25.8,9365066,1320552,16.4,688958,55009,8.7,369386,23203,6.7,982279,30305,3.2,7324443,1212035,19.8,66005,1776,2.8,80520,11761,17.1,7177918,1198498,20.0,9439068,74002,0.8,650274,-38684,-5.6,388006,18620,5.0,1033763,51484,5.2,7367025,,,490617,424612,643.3,70402,-10118,-12.6,6806006,-371912,-5.2,10115909,,,729792,,,418887,,,1234259,,,7732971,,,127774,,,64689,,,7540508,,
"1월",731261,-240773,-24.8,52958,-194,-0.4,29026,-509,-1.7,93311,-5091,-5.2,555966,-234979,-29.7,5798,-195,-3.3,6487,-355,-5.2,543681,-234429,-30.1,802946,71685,9.8,57343,4385,8.3,31849,2823,9.7,94842,1531,1.6,618912,62946,11.3,5459,-339,-5.8,6602,115,1.8,606851,63170,11.6,925139,122193,15.2,55912,-1431,-2.5,32024,175,0.5,97825,2983,3.1,739378,,,39016,33557,614.7,6279,-323,-4.9,694083,87232,14.4,908707,,,62933,,,38816,,,123384,,,683574,,,11008,,,5753,,,666813,,
"2월",648738,-179238,-21.6,53410,1670,3.2,27113,-216,-0.8,89649,-2421,-2.6,478566,-178271,-27.1,5416,-152,-2.7,6201,440,7.6,466949,-178559,-27.7,719401,70663,10.9,54602,1192,2.2,27753,640,2.4,88199,-1450,-1.6,548847,70281,14.7,5351,-65,-1.2,6063,-138,-2.2,537433,70484,15.1,794531,75130,10.4,55335,733,1.3,30001,2248,8.1,95303,7104,8.1,613892,,,37975,32624,609.7,5808,-255,-4.2,570109,32676,6.1,865422,,,61297,,,35214,,,117607,,,651304,,,10933,,,5750,,,634621,,
"3월",684037,-343427,-33.4,50511,4440,9.6,27629,-1245,-4.3,74951,-2902,-3.7,530946,-343720,-39.3,4808,-50,-1.0,6553,-438,-6.3,519585,-343232,-39.8,750653,66616,9.7,48761,-1750,-3.5,30768,3139,11.4,76631,1680,2.2,594493,63547,12.0,4563,-245,-5.1,6617,64,1.0,583313,63728,12.3,920931,170278,22.7,49788,1027,2.1,32212,1444,4.7,81924,5293,6.9,757007,,,40812,36249,794.4,6340,-277,-4.2,709855,126542,21.7,957256,,,53296,,,34610,,,95003,,,774347,,,9085,,,5138,,,760124,,
"4월",684376,-267581,-28.1,51961,4025,8.4,25498,-3077,-10.8,71440,-6376,-8.2,535477,-262153,-32.9,5177,-27,-0.5,6294,-397,-5.9,524006,-261729,-33.3,798609,114233,16.7,49887,-2074,-4.0,29482,3984,15.6,75516,4076,5.7,643724,108247,20.2,4980,-197,-3.8,6589,295,4.7,632155,108149,20.6,832093,33484,4.2,50561,674,1.4,31360,1878,6.4,78854,3338,4.4,671318,,,39958,34978,702.4,6477,-112,-1.7,624883,-7272,-1.2,882913,,,54939,,,32792,,,91922,,,703260,,,8919,,,4747,,,689594,,
