지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),합계 일조시간(hr)
165,목포,2014-05-01,15.4,10.6,20.3,0.0,1.6,12.0,82.5,12.2
165,목포,2014-05-02,15.6,12.0,23.3,0.0,4.4,13.6,88.5,7.3
165,목포,2014-05-03,13.4,10.0,19.3,0.0,5.6,9.2,77.5,12.2
165,목포,2014-05-04,13.6,9.6,20.0,1.0,3.9,9.3,78.9,3.0
165,목포,2014-05-05,12.6,8.7,17.3,0.0,4.2,4.6,60.0,12.1
165,목포,2014-05-06,13.5,9.4,18.0,0.0,3.2,5.0,59.1,12.2
165,목포,2014-05-07,15.8,9.9,20.4,0.0,4.8,8.7,65.6,12.2
165,목포,2014-05-08,14.6,10.3,17.7,0.1,5.2,13.1,92.0,7.1
165,목포,2014-05-09,16.0,8.9,23.7,0.0,2.5,10.0,71.9,11.6
165,목포,2014-05-10,18.8,13.1,24.5,0.0,3.0,8.6,54.9,11.0
165,목포,2014-05-11,18.4,16.5,22.4,32.2,6.3,14.1,78.8,2.0
165,목포,2014-05-12,16.8,13.9,20.7,3.1,3.4,14.3,86.9,11.5
165,목포,2014-05-13,19.0,13.7,24.9,0.0,2.2,14.7,78.6,11.3
165,목포,2014-05-14,16.1,14.9,17.4,9.5,1.7,15.4,96.0,0.2
165,목포,2014-05-15,16.2,14.0,20.0,0.0,3.8,14.1,88.3,9.8
165,목포,2014-05-16,17.6,12.6,22.3,0.0,1.7,13.3,77.9,10.7
165,목포,2014-05-17,18.8,14.3,25.1,0.0,1.8,10.5,65.6,12.1
165,목포,2014-05-18,18.6,13.8,24.2,0.0,1.7,14.3,78.3,11.1
165,목포,2014-05-19,19.6,13.6,25.7,0.0,1.9,14.0,73.3,11.0
165,목포,2014-05-20,17.4,15.6,20.5,19.5,2.2,16.8,97.0,1.9
165,목포,2014-05-21,16.9,14.6,20.2,0.0,3.2,16.1,95.6,8.8
165,목포,2014-05-22,18.9,13.2,24.7,0.0,1.4,16.6,88.4,10.6
165,목포,2014-05-23,20.5,16.6,25.1,0.0,2.6,18.0,86.9,9.7
165,목포,2014-05-24,20.7,16.3,25.9,0.0,2.8,17.7,84.5,6.8
165,목포,2014-05-25,19.3,17.3,21.1,6.9,4.5,18.6,96.5,0.7
165,목포,2014-05-26,19.7,16.8,24.4,0.5,3.3,15.5,80.5,10.5
165,목포,2014-05-27,20.9,16.2,26.7,0.0,4.5,17.4,83.0,11.2
165,목포,2014-05-28,20.0,17.5,23.6,0.0,4.1,17.9,89.0,10.4
165,목포,2014-05-29,20.4,16.6,25.9,0.0,1.9,17.3,85.0,9.5
165,목포,2014-05-30,23.2,17.0,30.5,0.0,2.6,15.2,64.6,12.2
165,목포,2014-05-31,23.2,19.2,28.7,0.0,2.3,18.5,76.5,12.3
165,목포,2014-06-01,22.6,18.8,26.7,0.0,2.0,17.1,73.3,0.1
165,목포,2014-06-02,19.7,17.9,22.0,19.8,5.5,18.0,90.6,1.9
165,목포,2014-06-03,18.9,17.7,19.5,19.7,2.8,18.8,99.9,0.0
165,목포,2014-06-04,21.8,18.8,26.4,8.4,1.6,20.2,92.0,5.2
165,목포,2014-06-05,21.7,18.7,25.0,0.0,2.3,19.4,88.0,7.9
165,목포,2014-06-06,21.7,19.3,25.5,0.0,1.7,19.4,88.0,8.5
165,목포,2014-06-07,20.8,18.3,25.2,0.0,2.1,19.4,92.5,10.5
165,목포,2014-06-08,20.5,18.6,23.8,0.0,2.1,18.6,90.1,6.9
165,목포,2014-06-09,20.7,18.1,23.6,0.0,1.6,19.4,93.0,2.5
165,목포,2014-06-10,21.8,19.9,25.7,0.0,1.8,20.1,91.1,1.5
165,목포,2014-06-11,21.8,19.5,25.4,0.0,3.0,19.7,89.4,10.5
165,목포,2014-06-12,20.3,16.5,23.9,13.1,3.6,19.1,93.5,8.8
165,목포,2014-06-13,21.0,18.4,24.2,0.0,2.9,19.3,91.1,9.7
165,목포,2014-06-14,21.3,18.3,25.7,0.0,1.9,19.2,89.1,8.6
165,목포,2014-06-15,21.2,18.6,24.4,0.0,2.1,19.6,91.5,8.2
165,목포,2014-06-16,21.8,19.3,25.9,0.0,1.5,20.2,91.3,4.1
165,목포,2014-06-17,19.7,18.5,22.0,6.9,1.7,18.7,94.6,0.2
165,목포,2014-06-18,21.9,19.2,25.9,0.0,2.9,20.6,93.0,8.8
165,목포,2014-06-19,22.6,20.4,27.2,0.0,2.2,21.1,91.9,9.0
