병해충명,최소값(0제외),최대값,평균값(0제외)
이삭도열병,0.001,1.72,0.04816483516483516
흰잎마름병,0.001,0.86,0.05280232558139535
세균벼알마름병,0.001,1.117,0.028561904761904764
깨씨무늬병,0.001,7.86,0.12147837837837838
벼멸구,0.001,4.0,0.21092783505154636
흰등멸구,0.001,7.81,0.22655150214592276
혹명나방,0.001,3.28,0.13622222222222222
먹노린재,0.001,23.939,0.24867350746268654
잎도열병,0.001,0.491,0.008977777777777777
잎집무늬마름병,0.001,12.19,0.22795238095238096
줄무늬잎마름병,0.001,0.067,0.007000000000000001
벼잎벌레,0.001,0.33,0.02490625
벼애잎굴파리,0.001,0.59,0.031081967213114754
벼줄기굴파리,0.001,0.606,0.09748076923076923
애멸구,0.001,3.44,0.15431914893617021
끝동매미충,0.001,0.748,0.04543089430894309
벼물바구미,0.001,5.576,0.09184918032786886
멸강나방,0.001,0.178,0.031384615384615386
이화명나방1화기,0.001,0.412,0.013852941176470589
벼검은줄오갈병,,0.0,
오갈병,,0.0,
이삭누룩병,0.001,0.154,0.013263157894736843
이화명나방2화기,0.001,0.994,0.02326153846153846
