조사일,지역,이삭도열병,흰잎마름병,세균벼알마름병,깨씨무늬병,벼멸구,흰등멸구,혹명나방,먹노린재,잎도열병,잎집무늬마름병,줄무늬잎마름병,벼잎벌레,벼애잎굴파리,벼줄기굴파리,애멸구,끝동매미충,벼물바구미,멸강나방,이화명나방1화기,벼검은줄오갈병,오갈병,이삭누룩병,이화명나방2화기
2014.09.16,강진군,0.07,0.14,0.02,0.0,0.0,1.11,0.0,0.28,,,,,,,,,,,,,,,
2014.09.16,고흥군,0.009,0.0,0.0,0.11,0.071,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,곡성군,0.08,0.0,0.0,0.17,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,광양시,0.0,0.0,0.043,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,구례군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,나주시,0.033,,,,,,,,,,,,,,,,,,,,,,
2014.09.16,담양군,0.002,0.015,0.023,0.0,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,
2014.09.16,무안군,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,보성군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,순천시,0.063,,0.02,,,0.04,0.02,0.02,,,,,,,,,,,,,,,
2014.09.16,신안군,0.0,0.004,0.006,0.022,0.002,0.006,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,여수시,0.0,0.0,0.0,0.83,0.0,0.0,0.08,0.0,,,,,,,,,,,,,,,
2014.09.16,영광군,0.46,0.86,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,영암군,0.25,0.5,0.0,0.0,0.0,0.16,0.02,0.14,,,,,,,,,,,,,,,
2014.09.16,완도군,0.18,,,7.86,,,,0.14,,,,,,,,,,,,,,,
2014.09.16,장성군,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,장흥군,0.19,0.36,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,,,,,,,
2014.09.16,진도군,0.39,0.0,0.0,3.16,0.0,0.53,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,함평군,0.035,0.028,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,해남군,1.72,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2014.09.16,화순군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,,,,,,,,,,,,,,,
2015.06.16,강진군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,고흥군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,곡성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,,
2015.06.16,광양시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,구례군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,나주시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,담양군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,무안군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,보성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,순천시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,신안군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,,,,
2015.06.16,여수시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,,,,
2015.06.16,영광군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,,,,
2015.06.16,영암군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,완도군,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,장성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,,,,
2015.06.16,장흥군,,,,,,,,0.02,,,,,,,,0.035,0.023,,,,,,
2015.06.16,진도군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,
2015.06.16,함평군,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.06.16,해남군,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,
2015.06.16,화순군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,
2015.07.01,강진군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,고흥군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,곡성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,,
2015.07.01,광양시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,구례군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,나주시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,,,,
2015.07.01,담양군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,무안군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,보성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.027,0.0,0.0,0.003,,,,
2015.07.01,순천시,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,,,,
2015.07.01,신안군,,,,0.0,0.0,0.163,0.0,0.003,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.025,0.0,0.0,,,,
2015.07.01,여수시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,,
2015.07.01,영광군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,,,,
2015.07.01,영암군,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,
2015.07.01,완도군,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,장성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,,,
2015.07.01,장흥군,,,,,,,,0.12,,,,0.18,0.07,0.24,0.05,,0.06,,,,,,
2015.07.01,진도군,,,,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,,,,
2015.07.01,함평군,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,해남군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.01,화순군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,강진군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,고흥군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,곡성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,,
